bitcoin_Date,bitcoin_Size
2019-01-27 00:00:00 UTC,120718911
2021-01-19 00:00:00 UTC,190447683
2020-03-16 00:00:00 UTC,142011037
2019-06-19 00:00:00 UTC,205227013
2020-09-02 00:00:00 UTC,186254684
2020-09-18 00:00:00 UTC,190380733
2020-02-03 00:00:00 UTC,176222710
2019-08-09 00:00:00 UTC,170005023
2020-12-09 00:00:00 UTC,177327157
2019-11-23 00:00:00 UTC,145568411
2020-11-23 00:00:00 UTC,180720623
2020-12-25 00:00:00 UTC,185149614
2019-06-30 00:00:00 UTC,152519216
2019-10-21 00:00:00 UTC,160432654
2019-05-05 00:00:00 UTC,154313049
2019-10-29 00:00:00 UTC,154169311
2020-05-21 00:00:00 UTC,169720316
2020-10-25 00:00:00 UTC,160697653
2019-01-29 00:00:00 UTC,147480419
2020-12-24 00:00:00 UTC,160022892
2019-07-28 00:00:00 UTC,123123655
2020-01-07 00:00:00 UTC,166904831
2019-02-24 00:00:00 UTC,143025597
2020-10-12 00:00:00 UTC,176430655
2019-12-22 00:00:00 UTC,125155876
2019-02-28 00:00:00 UTC,169598145
2019-05-30 00:00:00 UTC,194170102
2019-04-10 00:00:00 UTC,179611605
2019-03-26 00:00:00 UTC,161841987
2020-03-24 00:00:00 UTC,154467147
2019-10-14 00:00:00 UTC,143003933
2019-06-07 00:00:00 UTC,187656259
2019-04-21 00:00:00 UTC,185060284
2019-03-15 00:00:00 UTC,151088346
2020-04-11 00:00:00 UTC,124764266
2019-07-27 00:00:00 UTC,130418095
2020-07-28 00:00:00 UTC,185668831
2019-05-21 00:00:00 UTC,192559689
2019-10-30 00:00:00 UTC,147284782
2019-01-24 00:00:00 UTC,147625070
2020-03-18 00:00:00 UTC,116490986
2019-08-23 00:00:00 UTC,167601998
2019-03-25 00:00:00 UTC,156418969
2019-01-08 00:00:00 UTC,146666163
2019-12-08 00:00:00 UTC,123601443
2019-12-06 00:00:00 UTC,153558027
2019-01-16 00:00:00 UTC,147898011
2020-03-03 00:00:00 UTC,175053850
2019-06-29 00:00:00 UTC,199850892
2019-06-25 00:00:00 UTC,181869462
2020-09-13 00:00:00 UTC,152021874
2019-10-04 00:00:00 UTC,159766277
2019-07-07 00:00:00 UTC,146378868
2020-01-16 00:00:00 UTC,156363663
2019-02-15 00:00:00 UTC,139851290
2019-09-03 00:00:00 UTC,178443684
2020-03-26 00:00:00 UTC,181659144
2019-06-26 00:00:00 UTC,204726356
2019-02-13 00:00:00 UTC,176440009
2019-03-05 00:00:00 UTC,153431605
2021-01-10 00:00:00 UTC,203934731
2020-04-10 00:00:00 UTC,146699094
2020-12-11 00:00:00 UTC,182967857
2019-05-18 00:00:00 UTC,190064409
