Date,Google Search Count
2019-01-28,5
2019-01-29,5
2019-01-30,5
2019-01-31,5
2019-02-01,5
2019-02-02,5
2019-02-03,5
2019-02-04,6
2019-02-05,6
2019-02-06,6
2019-02-07,6
2019-02-08,6
2019-02-09,6
2019-02-10,6
2019-02-11,7
2019-02-12,7
2019-02-13,7
2019-02-14,7
2019-02-15,7
2019-02-16,7
2019-02-17,7
2019-02-18,7
2019-02-19,7
2019-02-20,7
2019-02-21,7
2019-02-22,7
2019-02-23,7
2019-02-24,7
2019-02-25,4
2019-02-26,4
2019-02-27,4
2019-02-28,4
2019-03-01,4
2019-03-02,4
2019-03-03,4
2019-03-04,4
2019-03-05,4
2019-03-06,4
2019-03-07,4
2019-03-08,4
2019-03-09,4
2019-03-10,4
2019-03-11,4
2019-03-12,4
2019-03-13,4
2019-03-14,4
2019-03-15,4
2019-03-16,4
2019-03-17,4
2019-03-18,3
2019-03-19,3
2019-03-20,3
2019-03-21,3
2019-03-22,3
2019-03-23,3
2019-03-24,3
2019-03-25,6
2019-03-26,6
2019-03-27,6
2019-03-28,6
2019-03-29,6
2019-03-30,6
2019-03-31,6
2019-04-01,6
2019-04-02,6
2019-04-03,6
2019-04-04,6
2019-04-05,6
2019-04-06,6
2019-04-07,6
2019-04-08,5
2019-04-09,5
2019-04-10,5
2019-04-11,5
2019-04-12,5
2019-04-13,5
2019-04-14,5
2019-04-15,5
2019-04-16,5
2019-04-17,5
2019-04-18,5
2019-04-19,5
2019-04-20,5
2019-04-21,5
2019-04-22,5
2019-04-23,5
2019-04-24,5
2019-04-25,5
2019-04-26,5
2019-04-27,5
2019-04-28,5
2019-04-29,6
2019-04-30,6
2019-05-01,6
2019-05-02,6
2019-05-03,6
2019-05-04,6
2019-05-05,6
2019-05-06,12
2019-05-07,12
2019-05-08,12
2019-05-09,12
2019-05-10,12
2019-05-11,12
2019-05-12,12
2019-05-13,7
2019-05-14,7
2019-05-15,7
2019-05-16,7
2019-05-17,7
2019-05-18,7
2019-05-19,7
2019-05-20,7
2019-05-21,7
2019-05-22,7
2019-05-23,7
2019-05-24,7
2019-05-25,7
2019-05-26,7
2019-05-27,5
2019-05-28,5
2019-05-29,5
2019-05-30,5
2019-05-31,5
2019-06-01,5
2019-06-02,5
2019-06-03,6
2019-06-04,6
2019-06-05,6
2019-06-06,6
2019-06-07,6
2019-06-08,6
2019-06-09,6
2019-06-10,8
2019-06-11,8
2019-06-12,8
2019-06-13,8
