Date,Google Search Count
1/28/19,8
1/29/19,8
1/30/19,8
1/31/19,8
2/1/19,8
2/2/19,8
2/3/19,8
2/4/19,22
2/5/19,22
2/6/19,22
2/7/19,22
2/8/19,22
2/9/19,22
2/10/19,22
2/11/19,14
2/12/19,14
2/13/19,14
2/14/19,14
2/15/19,14
2/16/19,14
2/17/19,14
2/18/19,8
2/19/19,8
2/20/19,8
2/21/19,8
2/22/19,8
2/23/19,8
2/24/19,8
2/25/19,14
2/26/19,14
2/27/19,14
2/28/19,14
3/1/19,14
3/2/19,14
3/3/19,14
3/4/19,14
3/5/19,14
3/6/19,14
3/7/19,14
3/8/19,14
3/9/19,14
3/10/19,14
3/11/19,17
3/12/19,17
3/13/19,17
3/14/19,17
3/15/19,17
3/16/19,17
3/17/19,17
3/18/19,9
3/19/19,9
3/20/19,9
3/21/19,9
3/22/19,9
3/23/19,9
3/24/19,9
3/25/19,31
3/26/19,31
3/27/19,31
3/28/19,31
3/29/19,31
3/30/19,31
3/31/19,31
4/1/19,20
4/2/19,20
4/3/19,20
4/4/19,20
4/5/19,20
4/6/19,20
4/7/19,20
4/8/19,20
4/9/19,20
4/10/19,20
4/11/19,20
4/12/19,20
4/13/19,20
4/14/19,20
4/15/19,6
4/16/19,6
4/17/19,6
4/18/19,6
4/19/19,6
4/20/19,6
4/21/19,6
4/22/19,29
4/23/19,29
4/24/19,29
4/25/19,29
4/26/19,29
4/27/19,29
4/28/19,29
4/29/19,15
4/30/19,15
5/1/19,15
5/2/19,15
5/3/19,15
5/4/19,15
5/5/19,15
5/6/19,29
5/7/19,29
5/8/19,29
5/9/19,29
5/10/19,29
5/11/19,29
5/12/19,29
5/13/19,12
5/14/19,12
5/15/19,12
5/16/19,12
5/17/19,12
5/18/19,12
5/19/19,12
5/20/19,39
5/21/19,39
5/22/19,39
5/23/19,39
5/24/19,39
5/25/19,39
5/26/19,39
5/27/19,23
5/28/19,23
5/29/19,23
5/30/19,23
5/31/19,23
6/1/19,23
6/2/19,23
6/3/19,44
6/4/19,44
6/5/19,44
6/6/19,44
6/7/19,44
6/8/19,44
6/9/19,44
6/10/19,30
6/11/19,30
6/12/19,30
6/13/19,30
6/14/19,30
6/15/19,30
6/16/19,30
6/17/19,27
6/18/19,27
6/19/19,27
6/20/19,27
6/21/19,27
6/22/19,27
6/23/19,27
6/24/19,27
6/25/19,27
6/26/19,27
6/27/19,27
6/28/19,27
6/29/19,27
6/30/19,27
7/1/19,26
7/2/19,26
7/3/19,26
7/4/19,26
7/5/19,26
7/6/19,26
7/7/19,26
7/8/19,21
7/9/19,21
7/10/19,21
7/11/19,21
7/12/19,21
7/13/19,21
7/14/19,21
7/15/19,15
7/16/19,15
7/17/19,15
7/18/19,15
7/19/19,15
7/20/19,15
7/21/19,15
7/22/19,12
7/23/19,12
7/24/19,12
7/25/19,12
7/26/19,12
7/27/19,12
7/28/19,12
7/29/19,6
7/30/19,6
7/31/19,6
8/1/19,6
8/2/19,6
8/3/19,6
8/4/19,6
8/5/19,14
8/6/19,14
8/7/19,14
8/8/19,14
8/9/19,14
8/10/19,14
8/11/19,14
8/12/19,17
8/13/19,17
8/14/19,17
8/15/19,17
8/16/19,17
8/17/19,17
8/18/19,17
8/19/19,14
8/20/19,14
8/21/19,14
8/22/19,14
8/23/19,14
8/24/19,14
8/25/19,14
8/26/19,8
8/27/19,8
8/28/19,8
8/29/19,8
8/30/19,8
8/31/19,8
9/1/19,8
9/2/19,8
9/3/19,8
9/4/19,8
9/5/19,8
9/6/19,8
9/7/19,8
9/8/19,8
9/9/19,13
9/10/19,13
9/11/19,13
9/12/19,13
9/13/19,13
9/14/19,13
9/15/19,13
9/16/19,24
9/17/19,24
9/18/19,24
9/19/19,24
9/20/19,24
9/21/19,24
9/22/19,24
9/23/19,11
9/24/19,11
9/25/19,11
9/26/19,11
9/27/19,11
9/28/19,11
9/29/19,11
9/30/19,14
10/1/19,14
10/2/19,14
10/3/19,14
10/4/19,14
10/5/19,14
10/6/19,14
10/7/19,19
10/8/19,19
10/9/19,19
10/10/19,19
10/11/19,19
10/12/19,19
10/13/19,19
10/14/19,8
10/15/19,8
10/16/19,8
10/17/19,8
10/18/19,8
10/19/19,8
10/20/19,8
10/21/19,5
10/22/19,5
10/23/19,5
10/24/19,5
10/25/19,5
10/26/19,5
10/27/19,5
10/28/19,16
10/29/19,16
10/30/19,16
10/31/19,16
11/1/19,16
11/2/19,16
11/3/19,16
11/4/19,16
11/5/19,16
11/6/19,16
11/7/19,16
11/8/19,16
11/9/19,16
11/10/19,16
11/11/19,5
11/12/19,5
11/13/19,5
11/14/19,5
11/15/19,5
11/16/19,5
11/17/19,5
11/18/19,3
11/19/19,3
11/20/19,3
11/21/19,3
11/22/19,3
11/23/19,3
11/24/19,3
11/25/19,8
11/26/19,8
11/27/19,8
11/28/19,8
11/29/19,8
11/30/19,8
12/1/19,8
12/2/19,8
12/3/19,8
12/4/19,8
12/5/19,8
12/6/19,8
12/7/19,8
12/8/19,8
12/9/19,19
12/10/19,19
12/11/19,19
12/12/19,19
12/13/19,19
12/14/19,19
12/15/19,19
12/16/19,6
12/17/19,6
12/18/19,6
12/19/19,6
12/20/19,6
12/21/19,6
12/22/19,6
12/23/19,14
12/24/19,14
12/25/19,14
12/26/19,14
12/27/19,14
12/28/19,14
12/29/19,14
12/30/19,8
12/31/19,8
1/1/20,8
1/2/20,8
1/3/20,8
1/4/20,8
1/5/20,8
1/6/20,22
1/7/20,22
1/8/20,22
1/9/20,22
1/10/20,22
1/11/20,22
1/12/20,22
1/13/20,15
1/14/20,15
1/15/20,15
1/16/20,15
1/17/20,15
1/18/20,15
1/19/20,15
1/20/20,10
1/21/20,10
1/22/20,10
1/23/20,10
1/24/20,10
1/25/20,10
1/26/20,10
1/27/20,12
1/28/20,12
1/29/20,12
1/30/20,12
1/31/20,12
2/1/20,12
2/2/20,12
2/3/20,18
2/4/20,18
2/5/20,18
2/6/20,18
2/7/20,18
2/8/20,18
2/9/20,18
2/10/20,12
2/11/20,12
2/12/20,12
2/13/20,12
2/14/20,12
2/15/20,12
2/16/20,12
2/17/20,15
2/18/20,15
2/19/20,15
2/20/20,15
2/21/20,15
2/22/20,15
2/23/20,15
2/24/20,14
2/25/20,14
2/26/20,14
2/27/20,14
2/28/20,14
2/29/20,14
3/1/20,14
3/2/20,24
3/3/20,24
3/4/20,24
3/5/20,24
3/6/20,24
3/7/20,24
3/8/20,24
3/9/20,19
3/10/20,19
3/11/20,19
3/12/20,19
3/13/20,19
3/14/20,19
3/15/20,19
3/16/20,14
3/17/20,14
3/18/20,14
3/19/20,14
3/20/20,14
3/21/20,14
3/22/20,14
3/23/20,25
3/24/20,25
3/25/20,25
3/26/20,25
3/27/20,25
3/28/20,25
3/29/20,25
3/30/20,16
3/31/20,16
4/1/20,16
4/2/20,16
4/3/20,16
4/4/20,16
4/5/20,16
4/6/20,13
4/7/20,13
4/8/20,13
4/9/20,13
4/10/20,13
4/11/20,13
4/12/20,13
4/13/20,15
4/14/20,15
4/15/20,15
4/16/20,15
4/17/20,15
4/18/20,15
4/19/20,15
4/20/20,13
4/21/20,13
4/22/20,13
4/23/20,13
4/24/20,13
4/25/20,13
4/26/20,13
4/27/20,27
4/28/20,27
4/29/20,27
4/30/20,27
5/1/20,27
5/2/20,27
5/3/20,27
5/4/20,16
5/5/20,16
5/6/20,16
5/7/20,16
5/8/20,16
5/9/20,16
5/10/20,16
5/11/20,7
5/12/20,7
5/13/20,7
5/14/20,7
5/15/20,7
5/16/20,7
5/17/20,7
5/18/20,19
5/19/20,19
5/20/20,19
5/21/20,19
5/22/20,19
5/23/20,19
5/24/20,19
5/25/20,2
5/26/20,2
5/27/20,2
5/28/20,2
5/29/20,2
5/30/20,2
5/31/20,2
6/1/20,14
6/2/20,14
6/3/20,14
6/4/20,14
6/5/20,14
6/6/20,14
6/7/20,14
6/8/20,12
6/9/20,12
6/10/20,12
6/11/20,12
6/12/20,12
6/13/20,12
6/14/20,12
6/15/20,5
6/16/20,5
6/17/20,5
6/18/20,5
6/19/20,5
6/20/20,5
6/21/20,5
6/22/20,5
6/23/20,5
6/24/20,5
6/25/20,5
6/26/20,5
6/27/20,5
6/28/20,5
6/29/20,7
6/30/20,7
7/1/20,7
7/2/20,7
7/3/20,7
7/4/20,7
7/5/20,7
7/6/20,15
7/7/20,15
7/8/20,15
7/9/20,15
7/10/20,15
7/11/20,15
7/12/20,15
7/13/20,10
7/14/20,10
7/15/20,10
7/16/20,10
7/17/20,10
7/18/20,10
7/19/20,10
7/20/20,23
7/21/20,23
7/22/20,23
7/23/20,23
7/24/20,23
7/25/20,23
7/26/20,23
7/27/20,25
7/28/20,25
7/29/20,25
7/30/20,25
7/31/20,25
8/1/20,25
8/2/20,25
8/3/20,7
8/4/20,7
8/5/20,7
8/6/20,7
8/7/20,7
8/8/20,7
8/9/20,7
8/10/20,25
8/11/20,25
8/12/20,25
8/13/20,25
8/14/20,25
8/15/20,25
8/16/20,25
8/17/20,7
8/18/20,7
8/19/20,7
8/20/20,7
8/21/20,7
8/22/20,7
8/23/20,7
8/24/20,9
8/25/20,9
8/26/20,9
8/27/20,9
8/28/20,9
8/29/20,9
8/30/20,9
8/31/20,10
9/1/20,10
9/2/20,10
9/3/20,10
9/4/20,10
9/5/20,10
9/6/20,10
9/7/20,9
9/8/20,9
9/9/20,9
9/10/20,9
9/11/20,9
9/12/20,9
9/13/20,9
9/14/20,7
9/15/20,7
9/16/20,7
9/17/20,7
9/18/20,7
9/19/20,7
9/20/20,7
9/21/20,8
9/22/20,8
9/23/20,8
9/24/20,8
9/25/20,8
9/26/20,8
9/27/20,8
9/28/20,8
9/29/20,8
9/30/20,8
10/1/20,8
10/2/20,8
10/3/20,8
10/4/20,8
10/5/20,6
10/6/20,6
10/7/20,6
10/8/20,6
10/9/20,6
10/10/20,6
10/11/20,6
10/12/20,8
10/13/20,8
10/14/20,8
10/15/20,8
10/16/20,8
10/17/20,8
10/18/20,8
10/19/20,8
10/20/20,8
10/21/20,8
10/22/20,8
10/23/20,8
10/24/20,8
10/25/20,8
10/26/20,16
10/27/20,16
10/28/20,16
10/29/20,16
10/30/20,16
10/31/20,16
11/1/20,16
11/2/20,11
11/3/20,11
11/4/20,11
11/5/20,11
11/6/20,11
11/7/20,11
11/8/20,11
11/9/20,33
11/10/20,33
11/11/20,33
11/12/20,33
11/13/20,33
11/14/20,33
11/15/20,33
11/16/20,28
11/17/20,28
11/18/20,28
11/19/20,28
11/20/20,28
11/21/20,28
11/22/20,28
11/23/20,19
11/24/20,19
11/25/20,19
11/26/20,19
11/27/20,19
11/28/20,19
11/29/20,19
11/30/20,13
12/1/20,13
12/2/20,13
12/3/20,13
12/4/20,13
12/5/20,13
12/6/20,13
12/7/20,25
12/8/20,25
12/9/20,25
12/10/20,25
12/11/20,25
12/12/20,25
12/13/20,25
12/14/20,29
12/15/20,29
12/16/20,29
12/17/20,29
12/18/20,29
12/19/20,29
12/20/20,29
12/21/20,20
12/22/20,20
12/23/20,20
12/24/20,20
12/25/20,20
12/26/20,20
12/27/20,20
12/28/20,100
12/29/20,100
12/30/20,100
12/31/20,100
1/1/21,100
1/2/21,100
1/3/21,100
1/4/21,62
1/5/21,62
1/6/21,62
1/7/21,62
1/8/21,62
1/9/21,62
1/10/21,62
1/11/21,62
1/12/21,62
1/13/21,62
1/14/21,62
1/15/21,62
1/16/21,62
1/17/21,62
1/18/21,62
1/19/21,62
