f0_,f1_
2019-04-24 00:00:00 UTC,3.49E+24
2019-04-03 00:00:00 UTC,4.17E+24
2020-08-12 00:00:00 UTC,4.20E+24
2020-09-01 00:00:00 UTC,6.88E+24
2021-01-17 00:00:00 UTC,1.44E+23
2019-04-28 00:00:00 UTC,2.33E+24
2019-05-31 00:00:00 UTC,3.49E+24
2019-03-31 00:00:00 UTC,2.17E+24
2020-01-22 00:00:00 UTC,9.23E+23
2020-01-19 00:00:00 UTC,1.19E+24
2019-02-27 00:00:00 UTC,2.92E+24
2020-04-04 00:00:00 UTC,1.19E+24
2020-03-07 00:00:00 UTC,1.19E+24
2020-04-03 00:00:00 UTC,2.21E+24
2019-06-21 00:00:00 UTC,3.03E+24
2019-03-05 00:00:00 UTC,2.34E+24
2019-05-21 00:00:00 UTC,2.84E+24
2019-06-26 00:00:00 UTC,3.73E+24
2019-12-14 00:00:00 UTC,7.99E+23
2020-11-03 00:00:00 UTC,2.94E+24
2020-11-05 00:00:00 UTC,4.00E+24
2019-02-26 00:00:00 UTC,1.88E+24
2020-12-13 00:00:00 UTC,1.67E+24
2019-06-05 00:00:00 UTC,3.42E+24
2019-12-10 00:00:00 UTC,1.56E+24
2020-03-01 00:00:00 UTC,1.66E+24
2019-01-22 00:00:00 UTC,1.84E+24
2020-10-27 00:00:00 UTC,2.75E+24
2020-07-20 00:00:00 UTC,2.24E+24
2020-11-02 00:00:00 UTC,3.33E+24
2019-09-21 00:00:00 UTC,1.05E+24
2019-12-08 00:00:00 UTC,5.58E+23
2020-04-26 00:00:00 UTC,1.38E+24
2020-04-09 00:00:00 UTC,1.53E+24
2019-10-20 00:00:00 UTC,1.20E+24
2019-11-12 00:00:00 UTC,1.68E+24
2020-05-11 00:00:00 UTC,2.39E+24
2019-08-04 00:00:00 UTC,9.71E+23
2020-10-26 00:00:00 UTC,3.31E+24
2021-01-15 00:00:00 UTC,3.76E+24
2020-01-23 00:00:00 UTC,1.12E+24
2019-03-07 00:00:00 UTC,2.13E+24
2020-01-14 00:00:00 UTC,2.60E+24
2020-02-11 00:00:00 UTC,1.44E+24
2019-05-01 00:00:00 UTC,2.62E+24
2020-01-13 00:00:00 UTC,1.44E+24
2020-02-06 00:00:00 UTC,2.32E+24
2019-05-30 00:00:00 UTC,3.65E+24
2020-10-25 00:00:00 UTC,1.46E+24
2020-09-18 00:00:00 UTC,6.80E+24
2020-08-28 00:00:00 UTC,3.47E+24
2019-04-29 00:00:00 UTC,3.08E+24
2019-12-16 00:00:00 UTC,1.56E+24
