f0_,f1_
2020-05-31 00:00:00 UTC,24120453161872815
2019-11-04 00:00:00 UTC,10097144184654283
2019-07-19 00:00:00 UTC,14119991820092805
2019-09-02 00:00:00 UTC,12061924067554727
2019-05-24 00:00:00 UTC,13599066701652526
2020-10-10 00:00:00 UTC,66527625333310374
2019-12-28 00:00:00 UTC,6093587915681502
2020-05-24 00:00:00 UTC,23970427484271503
2019-09-11 00:00:00 UTC,15050074684608357
2019-04-13 00:00:00 UTC,6510377702834011
2020-09-30 00:00:00 UTC,129311836383193592
2020-12-16 00:00:00 UTC,105468016290402658
2020-08-13 00:00:00 UTC,318696588919309572
2020-04-20 00:00:00 UTC,11406277663336865
2020-03-16 00:00:00 UTC,23260486232178086
2019-07-18 00:00:00 UTC,8779900834247313
2019-08-28 00:00:00 UTC,10605601613454646
2020-01-03 00:00:00 UTC,6664322062367769
2020-02-24 00:00:00 UTC,8315747685740263
2019-11-13 00:00:00 UTC,10654273373073577
2020-05-06 00:00:00 UTC,14942193932811829
2019-06-17 00:00:00 UTC,17005916511727751
2020-08-11 00:00:00 UTC,163302760017920271
2019-01-16 00:00:00 UTC,10450203065298115
2020-01-02 00:00:00 UTC,5334300410588519
2019-03-21 00:00:00 UTC,8530063990096482
2020-02-15 00:00:00 UTC,9150780168913961
2020-04-05 00:00:00 UTC,6393104164214202
2020-10-06 00:00:00 UTC,118349535655277114
2020-10-24 00:00:00 UTC,32593621052865501
2020-12-18 00:00:00 UTC,88563528711678674
2019-03-15 00:00:00 UTC,6050068560320145
2019-12-11 00:00:00 UTC,8241415756186863
2019-01-13 00:00:00 UTC,5916829565686962
2020-02-26 00:00:00 UTC,10064925125984046
2019-06-03 00:00:00 UTC,12110804326111666
2019-06-19 00:00:00 UTC,13400653673861666
2019-10-27 00:00:00 UTC,9422605167434984
2020-07-25 00:00:00 UTC,96643921746094747
2020-08-15 00:00:00 UTC,134345114684933391
2020-04-25 00:00:00 UTC,9930391145757838
2020-04-13 00:00:00 UTC,8881654517039233
2019-08-26 00:00:00 UTC,1.28311E+16
2019-08-18 00:00:00 UTC,6921225841568231
2019-10-16 00:00:00 UTC,10031626989070065
2019-05-14 00:00:00 UTC,11069521318501292
2020-10-31 00:00:00 UTC,44476931269057435
2020-11-20 00:00:00 UTC,79485387141138939
2020-08-23 00:00:00 UTC,96718137222556110
2020-12-03 00:00:00 UTC,52407118751619975
2020-10-16 00:00:00 UTC,73227461668993815
2020-06-29 00:00:00 UTC,41767242149929117
2020-06-23 00:00:00 UTC,50905433484902688
2019-08-13 00:00:00 UTC,13162225754295583
2020-05-28 00:00:00 UTC,36049374841052783
2020-05-21 00:00:00 UTC,42384680573987434
2019-02-22 00:00:00 UTC,7.91295E+15
2020-01-07 00:00:00 UTC,6753543310818197
2020-02-23 00:00:00 UTC,7.83749E+15
2019-08-05 00:00:00 UTC,8756229305396678
2019-11-29 00:00:00 UTC,9017743827764564
2019-06-02 00:00:00 UTC,9645234515822389
2019-04-20 00:00:00 UTC,6162548009147465
2020-03-20 00:00:00 UTC,13429848687383271
2020-08-14 00:00:00 UTC,257812554965108268
2019-06-27 00:00:00 UTC,16708263204408230
2020-12-27 00:00:00 UTC,116145796115203381
2020-11-27 00:00:00 UTC,49813258741440231
2020-09-08 00:00:00 UTC,106542261004899665
2019-08-20 00:00:00 UTC,10062998681151908
2019-11-08 00:00:00 UTC,9877253412295145
2019-02-18 00:00:00 UTC,8745734011232999
2019-03-01 00:00:00 UTC,7079318243903841
2019-03-02 00:00:00 UTC,6352004995451523
2019-11-18 00:00:00 UTC,15855146586795042
2019-09-05 00:00:00 UTC,14265788943348619
2019-07-29 00:00:00 UTC,8.36297E+15
2020-06-03 00:00:00 UTC,26737344787930916
2020-06-15 00:00:00 UTC,39440407079036599
2020-07-18 00:00:00 UTC,54268878741856607
2019-05-29 00:00:00 UTC,15717665255792378
