f0_,f1_
2019-02-28 00:00:00 UTC,13015608
2020-02-25 00:00:00 UTC,14050498
2019-03-06 00:00:00 UTC,16316548
2020-12-11 00:00:00 UTC,26405451
2021-01-11 00:00:00 UTC,47014373
2019-11-26 00:00:00 UTC,13125142
2020-10-11 00:00:00 UTC,35454176
2020-08-27 00:00:00 UTC,21607068
2020-04-03 00:00:00 UTC,10326068
2020-03-10 00:00:00 UTC,16187627
2019-08-15 00:00:00 UTC,12377223
2019-02-21 00:00:00 UTC,14874154
2020-05-29 00:00:00 UTC,17921712
2020-05-06 00:00:00 UTC,15349056
2019-06-11 00:00:00 UTC,21484858
2019-06-21 00:00:00 UTC,22547975
2019-09-23 00:00:00 UTC,21068960
2020-02-26 00:00:00 UTC,12943012
2019-07-03 00:00:00 UTC,16752484
2020-12-19 00:00:00 UTC,32097534
2020-08-18 00:00:00 UTC,38249311
2020-07-20 00:00:00 UTC,18628558
2020-10-01 00:00:00 UTC,43965689
2019-10-22 00:00:00 UTC,11603792
2020-09-26 00:00:00 UTC,56888188
2020-04-14 00:00:00 UTC,13208666
2019-12-28 00:00:00 UTC,22309856
2020-03-21 00:00:00 UTC,9282525
2019-11-18 00:00:00 UTC,17448965
2020-02-22 00:00:00 UTC,10549188
2020-10-26 00:00:00 UTC,44316473
2020-08-23 00:00:00 UTC,20018346
2020-07-21 00:00:00 UTC,21379914
2020-09-05 00:00:00 UTC,23501572
2020-09-21 00:00:00 UTC,45319049
2020-11-08 00:00:00 UTC,30175179
2020-03-29 00:00:00 UTC,10427853
2020-03-05 00:00:00 UTC,23373551
2020-06-23 00:00:00 UTC,19264393
2020-05-05 00:00:00 UTC,17239698
2019-09-24 00:00:00 UTC,20244708
2020-01-28 00:00:00 UTC,15491273
2020-10-20 00:00:00 UTC,43431456
2019-03-27 00:00:00 UTC,13308628
2019-03-18 00:00:00 UTC,14249378
2020-08-31 00:00:00 UTC,24214299
2019-10-28 00:00:00 UTC,10880369
2020-04-09 00:00:00 UTC,11270759
2020-11-05 00:00:00 UTC,41040618
2020-11-13 00:00:00 UTC,35742448
2019-09-04 00:00:00 UTC,12383451
2019-09-08 00:00:00 UTC,15524946
2019-12-23 00:00:00 UTC,11529107
2020-02-13 00:00:00 UTC,16987648
2020-01-30 00:00:00 UTC,13845726
2019-03-17 00:00:00 UTC,11387966
2020-12-04 00:00:00 UTC,27177663
2020-07-22 00:00:00 UTC,20500948
2020-07-03 00:00:00 UTC,16743039
2019-04-26 00:00:00 UTC,14615000
2019-04-01 00:00:00 UTC,16071620
2020-04-16 00:00:00 UTC,12591469
2020-11-21 00:00:00 UTC,32380603
2019-09-11 00:00:00 UTC,15124968
2019-09-16 00:00:00 UTC,19048382
2020-06-18 00:00:00 UTC,15628035
2019-11-20 00:00:00 UTC,10498145
2019-11-22 00:00:00 UTC,13120071
2019-11-09 00:00:00 UTC,10334564
2019-03-03 00:00:00 UTC,11830292
2020-07-19 00:00:00 UTC,17772666
2019-04-11 00:00:00 UTC,65595276
2019-08-04 00:00:00 UTC,16176947
2020-09-30 00:00:00 UTC,44557691
2020-09-29 00:00:00 UTC,52065686
2019-01-02 00:00:00 UTC,15917692
2020-11-14 00:00:00 UTC,30816566
2019-12-21 00:00:00 UTC,10451406
2019-10-27 00:00:00 UTC,9289528
2019-08-21 00:00:00 UTC,12817399
2019-02-18 00:00:00 UTC,17509060
2019-06-16 00:00:00 UTC,18243065
2019-09-26 00:00:00 UTC,15334164
2020-02-18 00:00:00 UTC,15187929
2020-10-17 00:00:00 UTC,35972527
2019-05-09 00:00:00 UTC,15320954
2021-01-01 00:00:00 UTC,28756242
2020-08-09 00:00:00 UTC,23268519
2019-04-28 00:00:00 UTC,12479009
2019-12-06 00:00:00 UTC,10394454
2020-09-25 00:00:00 UTC,51893960
2019-06-19 00:00:00 UTC,21022066
2020-02-09 00:00:00 UTC,15724267
2020-02-17 00:00:00 UTC,12891873
2020-02-04 00:00:00 UTC,14678645
2019-03-05 00:00:00 UTC,15596944
2019-04-09 00:00:00 UTC,14802899
2019-04-02 00:00:00 UTC,24114102
2020-04-04 00:00:00 UTC,13500746
2020-11-23 00:00:00 UTC,50947489
2020-11-20 00:00:00 UTC,33242998
2019-08-10 00:00:00 UTC,29348026
2019-02-25 00:00:00 UTC,15628759
2019-07-27 00:00:00 UTC,14402622
2019-03-20 00:00:00 UTC,13225643
2020-12-07 00:00:00 UTC,40217183
2020-08-08 00:00:00 UTC,23319309
2019-01-21 00:00:00 UTC,13823143
2020-06-01 00:00:00 UTC,26730909
2019-02-22 00:00:00 UTC,14803869
2019-02-23 00:00:00 UTC,13493505
2019-02-13 00:00:00 UTC,13947786
2020-05-31 00:00:00 UTC,38416312
2019-07-02 00:00:00 UTC,16508536
2020-01-01 00:00:00 UTC,7439528
2020-10-23 00:00:00 UTC,43427979
2019-05-31 00:00:00 UTC,19918596
2020-09-11 00:00:00 UTC,25020219
2020-08-24 00:00:00 UTC,22079276
2019-01-12 00:00:00 UTC,12849561
2019-08-20 00:00:00 UTC,13822195
2019-06-12 00:00:00 UTC,23460843
2019-09-27 00:00:00 UTC,12348798
2020-02-27 00:00:00 UTC,13273842
2020-12-12 00:00:00 UTC,23314453
2020-12-22 00:00:00 UTC,34060187
2020-07-27 00:00:00 UTC,27115178
2019-04-29 00:00:00 UTC,13417394
2020-04-13 00:00:00 UTC,11093011
2020-11-30 00:00:00 UTC,30907655
2019-10-02 00:00:00 UTC,10297943
2019-12-16 00:00:00 UTC,11601173
2020-03-09 00:00:00 UTC,15776310
2020-03-18 00:00:00 UTC,11084108
2020-06-13 00:00:00 UTC,24051529
2019-02-02 00:00:00 UTC,13629510
2019-02-01 00:00:00 UTC,14696621
2019-06-17 00:00:00 UTC,20657200
2020-02-02 00:00:00 UTC,14066847
2020-02-28 00:00:00 UTC,12521335
2020-01-19 00:00:00 UTC,11957132
2020-01-23 00:00:00 UTC,11162926
2020-10-24 00:00:00 UTC,38586887
2020-10-04 00:00:00 UTC,40290849
2020-04-30 00:00:00 UTC,30649672
2020-04-17 00:00:00 UTC,12388806
2019-12-29 00:00:00 UTC,14451507
