f0_,f1_
2019-02-08 00:00:00 UTC,11675962921748186482
2020-12-07 00:00:00 UTC,23435690773987300016
2019-01-11 00:00:00 UTC,14983853717188636564
2020-01-30 00:00:00 UTC,13276090712106226622
2019-05-15 00:00:00 UTC,13118305205057608143
2019-04-30 00:00:00 UTC,12366795094672016303
2019-01-24 00:00:00 UTC,14266763263947680745
2020-11-19 00:00:00 UTC,22718845976610862790
2020-11-16 00:00:00 UTC,21791195224772167917
2020-09-01 00:00:00 UTC,18795655272723250680
2019-11-23 00:00:00 UTC,14775193526605118300
2020-01-14 00:00:00 UTC,13527085318416385736
2020-11-02 00:00:00 UTC,21311671936281838246
2019-08-11 00:00:00 UTC,14764639919367112151
2020-03-12 00:00:00 UTC,14730911285714359849
2019-05-01 00:00:00 UTC,12410166686644113793
2019-01-10 00:00:00 UTC,14890851063656212462
2019-11-11 00:00:00 UTC,14915593846171168034
2019-08-21 00:00:00 UTC,14372333344880268643
2019-06-09 00:00:00 UTC,12895621405226465465
2020-06-12 00:00:00 UTC,14806325233640696219
2019-01-05 00:00:00 UTC,14821819191440555163
2020-07-27 00:00:00 UTC,15791045868248953018
2020-06-20 00:00:00 UTC,15243885816131955484
2019-10-29 00:00:00 UTC,15072362946462472344
2019-01-28 00:00:00 UTC,12724082536646826823
2019-06-14 00:00:00 UTC,12850921260945522772
2020-07-03 00:00:00 UTC,15428871010138890007
2020-09-20 00:00:00 UTC,20798205151817576423
2020-02-03 00:00:00 UTC,13592302069235386244
2020-08-06 00:00:00 UTC,15980693122413265052
2020-09-16 00:00:00 UTC,19789384669800259925
2020-05-02 00:00:00 UTC,15083078275191494381
2019-09-02 00:00:00 UTC,14429222926549264981
2020-07-13 00:00:00 UTC,15873862071106983501
2020-08-29 00:00:00 UTC,17581110609650508476
2021-01-03 00:00:00 UTC,25077090838600890146
2019-07-02 00:00:00 UTC,14063509483401114772
2019-12-31 00:00:00 UTC,12595742302398925554
2020-11-28 00:00:00 UTC,22868165894561908218
2020-05-07 00:00:00 UTC,14481943638657277009
2020-12-28 00:00:00 UTC,24965892568943408265
2019-10-14 00:00:00 UTC,15404159693248578637
2021-01-14 00:00:00 UTC,27013825986733214343
2020-03-02 00:00:00 UTC,14652210093324255022
2019-07-18 00:00:00 UTC,14538381774439149258
2019-03-10 00:00:00 UTC,12272131646701715428
2020-07-08 00:00:00 UTC,15799004907409271202
2020-09-12 00:00:00 UTC,20287257875230835908
2020-08-05 00:00:00 UTC,15840460443382387390
2019-05-11 00:00:00 UTC,12470974667848635749
2020-01-26 00:00:00 UTC,13460524175087667535
2020-10-24 00:00:00 UTC,22339468366508919420
2020-02-18 00:00:00 UTC,14529386987586642258
2020-01-25 00:00:00 UTC,13587350649385511854
2019-03-02 00:00:00 UTC,12312665912630460791
2020-09-29 00:00:00 UTC,20747713747630584094
2019-04-21 00:00:00 UTC,12128109724470313718
2020-03-07 00:00:00 UTC,14860702839177846678
2019-08-28 00:00:00 UTC,13983357838019491622
2020-08-09 00:00:00 UTC,16926461687394918555
2020-05-26 00:00:00 UTC,14515406946715080269
2019-07-16 00:00:00 UTC,13896963306825334772
2019-12-17 00:00:00 UTC,13591323096751627518
2019-08-30 00:00:00 UTC,14528533097829225502
2020-04-07 00:00:00 UTC,14264639983239603226
2020-07-23 00:00:00 UTC,15392395462799205391
2020-10-16 00:00:00 UTC,21700255629129247057
2020-12-30 00:00:00 UTC,24017238500609326954
2019-01-31 00:00:00 UTC,12158652401292405028
2020-03-20 00:00:00 UTC,14096512535067612792
2019-10-25 00:00:00 UTC,14844847799860035605
2020-02-17 00:00:00 UTC,14397853766738767939
2019-07-06 00:00:00 UTC,14008001858023872960
2020-11-04 00:00:00 UTC,21804443615432915827
2020-02-07 00:00:00 UTC,13603375313398648410
2020-09-17 00:00:00 UTC,20833134121758389564
2020-04-18 00:00:00 UTC,14535936999631936683
2019-11-29 00:00:00 UTC,14259338040949827070
2020-01-28 00:00:00 UTC,13372583624305009265
2019-06-21 00:00:00 UTC,12803200422554326531
2020-08-21 00:00:00 UTC,17709187763147352470
2020-01-20 00:00:00 UTC,13666044569459657819
2019-03-06 00:00:00 UTC,12232741225057740092
2019-11-08 00:00:00 UTC,15107259681636421193
2020-11-07 00:00:00 UTC,22349720817058529673
2019-12-03 00:00:00 UTC,14568406957373694570
2020-05-28 00:00:00 UTC,14491714653316888009
2019-02-13 00:00:00 UTC,11730244995019888264
2019-01-04 00:00:00 UTC,14396748025902743396
2019-02-15 00:00:00 UTC,11470076270637413130
2021-01-06 00:00:00 UTC,25383172174981329755
2019-06-08 00:00:00 UTC,13084401423827982377
2019-04-05 00:00:00 UTC,11705751559041384131
2020-07-16 00:00:00 UTC,15501971608170369049
2019-04-10 00:00:00 UTC,12124119238177552888
2019-04-07 00:00:00 UTC,11806975131552416957
2020-09-23 00:00:00 UTC,21001699102973361270
2019-08-12 00:00:00 UTC,14976502083047705987
