symbol,date,close,volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal
ETH/USD,2019-01-28,105.43,116919.95347588,,105.43,105.43,0.0,0.0,0.0
ETH/USD,2019-01-29,104.01,58259.80650069,-0.01346865218628479,104.48333333333335,104.6954031223383,0.0,-1.0,-1.0
ETH/USD,2019-01-30,107.5,80182.63989981,0.03355446591673883,106.20714285714287,105.69576456076487,1.0,0.0,1.0
ETH/USD,2019-01-31,105.74,67713.53752551,-0.016372093023255818,105.958,105.70799836778275,1.0,0.0,1.0
ETH/USD,2019-02-01,105.69,80417.73206329,-0.00047285795347074,105.81967741935483,105.70388322693888,1.0,0.0,1.0
ETH/USD,2019-02-02,109.34,32165.50003111,0.034534960734222686,107.60777777777778,106.41954140010385,1.0,0.0,1.0
ETH/USD,2019-02-03,106.0,48264.11885639,-0.030546917870861612,106.79755905511811,106.34645762994192,1.0,0.0,1.0
ETH/USD,2019-02-04,106.03,30082.01157399,0.0002830188679245893,106.41227450980392,106.29666982345297,1.0,0.0,1.0
ETH/USD,2019-02-05,106.03,0.0,0.0,106.22076320939334,106.2581919743433,0.0,-1.0,-1.0
ETH/USD,2019-02-06,103.26,78290.01606222,-0.026124681693860174,104.73893450635386,105.85663207970306,0.0,-1.0,-1.0
ETH/USD,2019-02-07,103.32,25617.89354077,0.000581057524694728,104.0291206643869,105.5382142455956,0.0,-1.0,-1.0
ETH/USD,2019-02-08,118.07,116776.95704949,0.1427603561749904,111.05127472527472,107.02427670293453,1.0,0.0,1.0
ETH/USD,2019-02-09,117.98,34137.85433004,-0.0007622596764630396,114.51606031009645,108.25967724174299,1.0,0.0,1.0
ETH/USD,2019-02-10,123.98,65308.90808130001,0.05085607730123742,119.24831898919612,109.95472213558195,1.0,0.0,1.0
ETH/USD,2019-02-11,119.52,54078.41509583,-0.03597354412001941,119.3841636402478,110.94561300634874,1.0,0.0,1.0
ETH/USD,2019-02-12,121.18,37784.22217058,0.013888888888889062,120.28209552147707,111.96835996116934,1.0,0.0,1.0
ETH/USD,2019-02-13,120.58,38970.08587753,-0.00495131209770594,120.43104889716261,112.80147783722154,1.0,0.0,1.0
