f0_,f1_
2019-04-24 00:00:00 UTC,3490000000000000000000000
2019-04-03 00:00:00 UTC,4170000000000000000000000
2020-08-12 00:00:00 UTC,4200000000000000000000000
2020-09-01 00:00:00 UTC,6880000000000000000000000
2021-01-17 00:00:00 UTC,144000000000000000000000
2019-04-28 00:00:00 UTC,2330000000000000000000000
2019-05-31 00:00:00 UTC,3490000000000000000000000
2019-03-31 00:00:00 UTC,2170000000000000000000000
2020-01-22 00:00:00 UTC,923000000000000000000000
2020-01-19 00:00:00 UTC,1190000000000000000000000
2019-02-27 00:00:00 UTC,2920000000000000000000000
2020-04-04 00:00:00 UTC,1190000000000000000000000
2020-03-07 00:00:00 UTC,1190000000000000000000000
2020-04-03 00:00:00 UTC,2210000000000000000000000
2019-06-21 00:00:00 UTC,3030000000000000000000000
2019-03-05 00:00:00 UTC,2340000000000000000000000
2019-05-21 00:00:00 UTC,2840000000000000000000000
2019-06-26 00:00:00 UTC,3730000000000000000000000
2019-12-14 00:00:00 UTC,799000000000000000000000
2020-11-03 00:00:00 UTC,2940000000000000000000000
2020-11-05 00:00:00 UTC,4000000000000000000000000
2019-02-26 00:00:00 UTC,1880000000000000000000000
2020-12-13 00:00:00 UTC,1670000000000000000000000
2019-06-05 00:00:00 UTC,3420000000000000000000000
2019-12-10 00:00:00 UTC,1560000000000000000000000
2020-03-01 00:00:00 UTC,1660000000000000000000000
2019-01-22 00:00:00 UTC,1840000000000000000000000
2020-10-27 00:00:00 UTC,2750000000000000000000000
2020-07-20 00:00:00 UTC,2240000000000000000000000
2020-11-02 00:00:00 UTC,3330000000000000000000000
2019-09-21 00:00:00 UTC,1050000000000000000000000
2019-12-08 00:00:00 UTC,558000000000000000000000
2020-04-26 00:00:00 UTC,1380000000000000000000000
2020-04-09 00:00:00 UTC,1530000000000000000000000
2019-10-20 00:00:00 UTC,1200000000000000000000000
2019-11-12 00:00:00 UTC,1680000000000000000000000
2020-05-11 00:00:00 UTC,2390000000000000000000000
2019-08-04 00:00:00 UTC,971000000000000000000000
2020-10-26 00:00:00 UTC,3310000000000000000000000
2021-01-15 00:00:00 UTC,3760000000000000000000000
2020-01-23 00:00:00 UTC,1120000000000000000000000
2019-03-07 00:00:00 UTC,2130000000000000000000000
2020-01-14 00:00:00 UTC,2600000000000000000000000
2020-02-11 00:00:00 UTC,1440000000000000000000000
2019-05-01 00:00:00 UTC,2620000000000000000000000
2020-01-13 00:00:00 UTC,1440000000000000000000000
2020-02-06 00:00:00 UTC,2320000000000000000000000
2019-05-30 00:00:00 UTC,3650000000000000000000000
2020-10-25 00:00:00 UTC,1460000000000000000000000
2020-09-18 00:00:00 UTC,6800000000000000000000000
2020-08-28 00:00:00 UTC,3470000000000000000000000
2019-04-29 00:00:00 UTC,3080000000000000000000000
