f0_,f1_
2020-05-19 00:00:00 UTC,76621500
2019-07-19 00:00:00 UTC,212151205
2020-01-18 00:00:00 UTC,345565102
2020-11-23 00:00:00 UTC,92419624
2020-12-13 00:00:00 UTC,65133769
2020-06-11 00:00:00 UTC,74825379
2019-09-16 00:00:00 UTC,337743149
2019-08-07 00:00:00 UTC,416146333
2021-01-19 00:00:00 UTC,118703088
2019-10-22 00:00:00 UTC,318765646
2019-10-09 00:00:00 UTC,228284869
2020-02-25 00:00:00 UTC,270265607
2019-03-15 00:00:00 UTC,244055535
2019-03-18 00:00:00 UTC,200636349
2019-03-17 00:00:00 UTC,184304017
2020-10-19 00:00:00 UTC,123165374
2020-01-12 00:00:00 UTC,214516260
2020-01-08 00:00:00 UTC,251471027
2020-08-19 00:00:00 UTC,94465153
2020-08-15 00:00:00 UTC,152662342
2019-04-15 00:00:00 UTC,132384864
2020-03-22 00:00:00 UTC,293460621
2019-01-20 00:00:00 UTC,185413180
2019-01-13 00:00:00 UTC,175682573
2020-12-04 00:00:00 UTC,76185349
2019-05-15 00:00:00 UTC,278706138
2019-09-23 00:00:00 UTC,249502808
2019-09-17 00:00:00 UTC,335836788
2019-08-06 00:00:00 UTC,315996760
2020-05-17 00:00:00 UTC,90655433
2020-09-21 00:00:00 UTC,90043074
2019-03-24 00:00:00 UTC,155855765
2020-10-07 00:00:00 UTC,120077320
2020-10-17 00:00:00 UTC,91907008
2019-07-23 00:00:00 UTC,208000984
2019-07-22 00:00:00 UTC,163606224
2019-12-13 00:00:00 UTC,152100473
2020-11-08 00:00:00 UTC,50256850
2020-11-17 00:00:00 UTC,76714795
2019-01-17 00:00:00 UTC,223582305
2019-09-27 00:00:00 UTC,228170946
2020-03-04 00:00:00 UTC,247220955
2019-10-14 00:00:00 UTC,186011433
2019-10-12 00:00:00 UTC,233170000
2020-09-27 00:00:00 UTC,76588322
2020-02-02 00:00:00 UTC,249942544
2020-02-29 00:00:00 UTC,231947214
2020-04-19 00:00:00 UTC,82446612
2020-04-06 00:00:00 UTC,155884435
2019-07-08 00:00:00 UTC,845278400
2019-07-31 00:00:00 UTC,194779065
2020-07-23 00:00:00 UTC,88789694
2020-06-04 00:00:00 UTC,173310370
2019-11-01 00:00:00 UTC,291769525
2019-11-15 00:00:00 UTC,161370594
2020-12-23 00:00:00 UTC,82992727
2019-09-07 00:00:00 UTC,225021002
2020-05-14 00:00:00 UTC,157867258
2020-09-29 00:00:00 UTC,85367009
2020-02-11 00:00:00 UTC,394765061
2019-03-07 00:00:00 UTC,231375083
2019-07-21 00:00:00 UTC,237251937
2020-01-23 00:00:00 UTC,192302504
