date,value,value_classification
2021-01-16,84,Extreme Greed
2021-01-15,88,Extreme Greed
2021-01-14,83,Extreme Greed
2021-01-13,78,Extreme Greed
2021-01-12,84,Extreme Greed
2021-01-11,90,Extreme Greed
2021-01-10,94,Extreme Greed
2021-01-09,93,Extreme Greed
2021-01-08,93,Extreme Greed
2021-01-07,91,Extreme Greed
2021-01-06,95,Extreme Greed
2021-01-05,93,Extreme Greed
2021-01-04,94,Extreme Greed
2021-01-03,93,Extreme Greed
2021-01-02,94,Extreme Greed
2021-01-01,94,Extreme Greed
2020-12-31,95,Extreme Greed
2020-12-30,91,Extreme Greed
2020-12-29,91,Extreme Greed
2020-12-28,92,Extreme Greed
2020-12-27,91,Extreme Greed
2020-12-26,93,Extreme Greed
2020-12-25,94,Extreme Greed
2020-12-24,86,Extreme Greed
2020-12-23,93,Extreme Greed
2020-12-22,88,Extreme Greed
2020-12-21,92,Extreme Greed
2020-12-20,92,Extreme Greed
2020-12-19,93,Extreme Greed
2020-12-18,95,Extreme Greed
2020-12-17,92,Extreme Greed
2020-12-16,92,Extreme Greed
2020-12-15,91,Extreme Greed
2020-12-14,95,Extreme Greed
2020-12-13,91,Extreme Greed
2020-12-12,90,Extreme Greed
2020-12-11,89,Extreme Greed
2020-12-10,94,Extreme Greed
2020-12-09,86,Extreme Greed
2020-12-08,95,Extreme Greed
2020-12-07,94,Extreme Greed
2020-12-06,95,Extreme Greed
2020-12-05,93,Extreme Greed
2020-12-04,92,Extreme Greed
2020-12-03,92,Extreme Greed
2020-12-02,92,Extreme Greed
2020-12-01,95,Extreme Greed
2020-11-30,88,Extreme Greed
2020-11-29,89,Extreme Greed
2020-11-28,87,Extreme Greed
2020-11-27,86,Extreme Greed
2020-11-26,93,Extreme Greed
2020-11-25,94,Extreme Greed
2020-11-24,88,Extreme Greed
2020-11-23,90,Extreme Greed
2020-11-22,94,Extreme Greed
2020-11-21,91,Extreme Greed
2020-11-20,86,Extreme Greed
2020-11-19,94,Extreme Greed
2020-11-18,91,Extreme Greed
2020-11-17,86,Extreme Greed
2020-11-16,90,Extreme Greed
2020-11-15,86,Extreme Greed
2020-11-14,90,Extreme Greed
2020-11-13,89,Extreme Greed
2020-11-12,87,Extreme Greed
2020-11-11,86,Extreme Greed
2020-11-10,90,Extreme Greed
2020-11-09,90,Extreme Greed
2020-11-08,82,Extreme Greed
2020-11-07,88,Extreme Greed
2020-11-06,90,Extreme Greed
2020-11-05,72,Greed
2020-11-04,74,Greed
2020-11-03,71,Greed
2020-11-02,71,Greed
2020-11-01,72,Greed
2020-10-31,73,Greed
2020-10-30,74,Greed
2020-10-29,67,Greed
2020-10-28,70,Greed
2020-10-27,61,Greed
2020-10-26,75,Greed
2020-10-25,76,Extreme Greed
2020-10-24,73,Greed
2020-10-23,74,Greed
2020-10-22,73,Greed
2020-10-21,61,Greed
2020-10-20,56,Greed
2020-10-19,55,Greed
2020-10-18,55,Greed
2020-10-17,56,Greed
2020-10-16,52,Neutral
2020-10-15,56,Greed
2020-10-14,53,Neutral
2020-10-13,56,Greed
2020-10-12,52,Neutral
2020-10-11,55,Greed
2020-10-10,53,Neutral
2020-10-09,48,Neutral
2020-10-08,46,Fear
2020-10-07,43,Fear
2020-10-06,47,Neutral
2020-10-05,42,Fear
2020-10-04,42,Fear
2020-10-03,40,Fear
2020-10-02,41,Fear
2020-10-01,45,Fear
2020-09-30,49,Neutral
2020-09-29,45,Fear
2020-09-28,43,Fear
2020-09-27,47,Neutral
2020-09-26,45,Fear
2020-09-25,46,Fear
2020-09-24,39,Fear
2020-09-23,43,Fear
2020-09-22,39,Fear
2020-09-21,48,Neutral
2020-09-20,52,Neutral
2020-09-19,48,Neutral
2020-09-18,49,Neutral
2020-09-17,48,Neutral
2020-09-16,43,Fear
2020-09-15,47,Neutral
2020-09-14,39,Fear
2020-09-13,38,Fear
2020-09-12,41,Fear
2020-09-11,41,Fear
2020-09-10,38,Fear
2020-09-09,38,Fear
2020-09-08,41,Fear
2020-09-07,41,Fear
2020-09-06,41,Fear
2020-09-05,41,Fear
2020-09-04,40,Fear
2020-09-03,79,Extreme Greed
2020-09-02,83,Extreme Greed
2020-09-01,75,Greed
2020-08-31,75,Greed
2020-08-30,75,Greed
