f0_,f1_
2020-03-17 00:00:00 UTC,959153485
2020-01-27 00:00:00 UTC,1151273206
2020-05-16 00:00:00 UTC,894453504
2021-01-10 00:00:00 UTC,1927653124
2019-02-04 00:00:00 UTC,1514243801
2020-08-12 00:00:00 UTC,1139183356
2019-09-22 00:00:00 UTC,1123671164
2019-09-17 00:00:00 UTC,1623895940
2019-09-19 00:00:00 UTC,1546461906
2020-12-26 00:00:00 UTC,1530282869
2019-12-11 00:00:00 UTC,950930854
2019-12-14 00:00:00 UTC,771106436
2019-11-21 00:00:00 UTC,1006955073
2019-08-06 00:00:00 UTC,2022169970
2020-02-03 00:00:00 UTC,1009958913
2020-03-24 00:00:00 UTC,931558409
2019-07-23 00:00:00 UTC,1626332753
2019-05-13 00:00:00 UTC,1800363529
2020-08-19 00:00:00 UTC,1393625975
2019-08-10 00:00:00 UTC,2796154187
2019-07-27 00:00:00 UTC,1479624742
2019-03-20 00:00:00 UTC,1445762892
2019-02-25 00:00:00 UTC,1679525490
2020-08-08 00:00:00 UTC,989166721
2020-11-23 00:00:00 UTC,1470109906
2020-11-20 00:00:00 UTC,1388289615
2020-04-04 00:00:00 UTC,802493438
2020-12-07 00:00:00 UTC,2586809537
2020-07-07 00:00:00 UTC,932018214
2019-08-26 00:00:00 UTC,1221397148
2020-10-18 00:00:00 UTC,829200300
2020-03-27 00:00:00 UTC,852320410
2020-04-24 00:00:00 UTC,965192604
2019-04-30 00:00:00 UTC,1653129512
2019-04-04 00:00:00 UTC,1972936033
2020-05-13 00:00:00 UTC,958853637
2019-03-04 00:00:00 UTC,1814167785
2019-02-11 00:00:00 UTC,1708637205
2019-09-30 00:00:00 UTC,1207805800
2020-11-25 00:00:00 UTC,1430597523
2020-07-24 00:00:00 UTC,1151977108
2019-12-24 00:00:00 UTC,817813609
2019-06-18 00:00:00 UTC,1872799617
2019-11-15 00:00:00 UTC,1008310702
2019-08-25 00:00:00 UTC,913259578
2020-03-19 00:00:00 UTC,1219850886
2020-06-22 00:00:00 UTC,883352129
2020-06-17 00:00:00 UTC,854441523
2019-07-01 00:00:00 UTC,1776044170
2019-07-28 00:00:00 UTC,1416776911
2019-10-24 00:00:00 UTC,901535031
2020-05-27 00:00:00 UTC,932390728
2019-03-01 00:00:00 UTC,1756429426
2019-05-08 00:00:00 UTC,1365448268
2019-02-06 00:00:00 UTC,1435722702
