symbol,date,close,volume
LTC/USD,2019-01-28,30.88,5079.95375251
LTC/USD,2019-01-29,30.67,2233.5639717
LTC/USD,2019-01-30,31.59,2372.26724322
LTC/USD,2019-01-31,31.17,5511.53793212
LTC/USD,2019-02-01,32.43,5922.00510188
LTC/USD,2019-02-02,34.17,5011.2601664
LTC/USD,2019-02-03,33.06,2812.22449497
LTC/USD,2019-02-04,33.61,5884.20209414
LTC/USD,2019-02-05,33.92,4221.17680066
LTC/USD,2019-02-06,32.44,14289.1885753
LTC/USD,2019-02-07,32.78,1590.17084707
LTC/USD,2019-02-08,42.52,28778.17445128
LTC/USD,2019-02-09,44.24,10371.18850485
LTC/USD,2019-02-10,46.5,16301.8592749
LTC/USD,2019-02-11,42.37,15769.4681384
LTC/USD,2019-02-12,43.25,4317.65106377
LTC/USD,2019-02-13,41.27,6280.97999759
LTC/USD,2019-02-14,40.96,4971.41661304
LTC/USD,2019-02-15,42.15,7355.83499291
LTC/USD,2019-02-16,42.93,7524.6420159
LTC/USD,2019-02-17,43.28,8270.55328026
LTC/USD,2019-02-18,47.4,14014.87051594
LTC/USD,2019-02-19,47.01,6721.70975965
LTC/USD,2019-02-20,51.22,19472.27511624
LTC/USD,2019-02-21,48.17,9202.87832694
LTC/USD,2019-02-22,49.27,4758.66075809
LTC/USD,2019-02-23,51.25,13904.10306546
LTC/USD,2019-02-24,43.66,26232.6191197
LTC/USD,2019-02-25,45.33,8746.93754505
LTC/USD,2019-02-26,44.71,4240.68195867
LTC/USD,2019-02-27,44.94,3690.00019882
LTC/USD,2019-02-28,45.35,2279.17479044
LTC/USD,2019-03-01,46.83,5248.43431384
LTC/USD,2019-03-02,48.25,2280.76212139
LTC/USD,2019-03-03,47.55,3889.64523457
LTC/USD,2019-03-04,45.56,4590.24054621
LTC/USD,2019-03-05,52.42,14225.62788758
LTC/USD,2019-03-06,55.17,6465.50278909
LTC/USD,2019-03-07,56.44,9917.16192294
LTC/USD,2019-03-08,55.29,9774.79792973
LTC/USD,2019-03-09,57.48,5759.23258674
LTC/USD,2019-03-10,56.44,3054.03265051
LTC/USD,2019-03-11,54.66,4567.8231867
LTC/USD,2019-03-12,56.03,9706.59620469
LTC/USD,2019-03-13,55.24,1822.32944974
LTC/USD,2019-03-14,55.6,2522.92902213
LTC/USD,2019-03-15,58.18,4004.0971975
LTC/USD,2019-03-16,60.89,18455.94692165
LTC/USD,2019-03-17,60.28,8011.41661916
LTC/USD,2019-03-18,59.02,7319.5243503
LTC/USD,2019-03-19,59.2,6944.0225518
LTC/USD,2019-03-20,60.17,5090.37750492
LTC/USD,2019-03-21,58.39,4957.25399824
LTC/USD,2019-03-22,59.33,1923.02381756
LTC/USD,2019-03-23,60.56,3301.82586182
LTC/USD,2019-03-24,59.44,3282.16394803
LTC/USD,2019-03-25,58.76,5088.70578287
LTC/USD,2019-03-26,58.11,5569.3944814
LTC/USD,2019-03-27,61.35,7019.69235274
LTC/USD,2019-03-28,60.17,3672.84182761
LTC/USD,2019-03-29,61.1,4178.47886049
LTC/USD,2019-03-30,60.25,2777.35777842
LTC/USD,2019-03-31,60.26,1932.57128772
LTC/USD,2019-04-01,60.36,2880.51529772
LTC/USD,2019-04-02,77.36,24529.9914393
